ORIG;ORIG <endereço>;permite especificar no campo <endereço> a primeira posição de memória em que um bloco de programa ou dados é carregado em memória. Este comando pode aparecer várias vezes no código, permitindo que se definam blocos em diferentes zonas de memória.;;TRUE;;;
EQU;<símbolo> EQU <const>;permite associar um valor const a um símbolo. Convenciona-se que estes símbolos são palavras todas em maiúsculas, com uso possível do caracter de separação;;TRUE;;;
WORD;<etiqueta> WORD <const>;permite reservar uma posição de memória para conter uma variável do programa assembly, associando a essa posição o nome especificado em <etiqueta>. O campo  const indica o valor a que essa posição de memória deve ser inicializada. Convenciona-se que estas etiquetas são palavras capitalizadas todas juntas: primeira letra de cada palavra em maiúsculas e restantes em minúsculas, por exemplo CicloInterno;;TRUE;;;
STR;<etiqueta> STR <texto>|<const>[,<texto>|<const>];coloca em posições de memória consecutivas o texto que estiver entre plicas ou o valor de <const> No caso de <texto> , o código ASCII de cada caracter entre plicas fica numa posição de memória (portanto usa tantas posições de memória quantos os caracteres em <texto>). Podem-se usar mais do que um parâmetro, separados por vírgulas, sendo feita a sua concatenação em memória. <etiqueta> fica com o endereço do primeiro caracter. A convenção para os nomes destas etiquetas é o mesmo que para WORD.;;TRUE;;;
TAB;<etiqueta> TAB <const>;reserva o número de posições de memória especificados no campo <const> sem as inicializar com qualquer valor. <etiqueta> fica com o endereço da primeira posição. A convenção para os nomes destas etiquetas é o mesmo que para WORD e STR.;;TRUE;;;
ADD;ADD op1, op2;op1←op1 + op2, soma a op1 o valor de op2.;ZCNO;FALSE;;;
ADDC;ADDC op1, op2;op1←op1 + op2 + C, igual a ADD excepto que soma mais um caso o bit de estado transporte esteja a 1.;ZCNO;FALSE;;;
AND;AND op1, op2;op1←op1 ∧ op2. Faz o AND lógico bit-a-bit dos dois operandos.;ZN;FALSE;;;
BR;BR <deslocamento>;PC ← PC + <deslocamento>, branch, salto relativo incondicional para <deslocamento> posições de memória à frente (ou atrás, se <deslocamento> for negativo) da posição actual. O valor de <deslocamento> tem que estar compreendido entre -32 e 31. Normalmente <deslocamento> é especificado com uma etiqueta.;;FALSE;;;
BR.cond;BR.cond <deslocamento>;salto relativo condicional baseado no valor de um dada condição. As versões disponíveis são BR.C, BR.NC, BR.NN, BR.O, BR.NO, BR.Z, BR.NZ, BR.I, BR.NI, BR.P e BR.NP, onde C, N, O e Z designam as respetivas flags, I interrupção, P positivo e o prefixo N a negação do valor. Caso a condição se verifique, a próxima instrução a ser executada será a do endereço PC + <deslocamento> (PC ← PC + <deslocamento>). Caso contrário, funciona como um NOP O valor de <deslocamento> tem que estar compreendido entre -32 e 31. Normalmente <deslocamento> é especificado com uma etiqueta.;;FALSE;;;
CALL;CALL <endereço>;M[SP] ← PC, SP ← SP - 1, PC ← <endereço>, chamada a subrotina com início em <endereço> O endereço da instrução seguinte ao CALL é colocado na pilha e é feito uma salto para a subrotina. Normalmente <endereço> é especificado com uma etiqueta.;;FALSE;;;
